file	tool	threads	rep	seconds	reads	rc
SRR24704796 (2.7 GB, unaligned)	sracat-cpp	1	1	45.44	55562334	0
SRR24704796 (2.7 GB, unaligned)	sracat-cpp	1	2	45.25	55562334	0
SRR24704796 (2.7 GB, unaligned)	sracat-cpp	1	3	44.58	55562334	0
SRR24704796 (2.7 GB, unaligned)	sracat-cpp	1	4	47.45	55562334	0
SRR24704796 (2.7 GB, unaligned)	fasterq-dump-unsorted	1	1	27.32	55562334	0
SRR24704796 (2.7 GB, unaligned)	fasterq-dump-unsorted	1	2	27.69	55562334	0
SRR24704796 (2.7 GB, unaligned)	fasterq-dump-unsorted	1	3	27.08	55562334	0
SRR24704796 (2.7 GB, unaligned)	fasterq-dump-unsorted	1	4	29.98	55562334	0
SRR24704796 (2.7 GB, unaligned)	fasterq-dump-unsorted	16	1	9.40	55562334	0
SRR24704796 (2.7 GB, unaligned)	fasterq-dump-unsorted	16	2	9.10	55562334	0
SRR24704796 (2.7 GB, unaligned)	fasterq-dump-unsorted	16	3	10.83	55562334	0
SRR24704796 (2.7 GB, unaligned)	fasterq-dump-unsorted	16	4	9.00	55562334	0
SRR24704796 (2.7 GB, unaligned)	sracat-rs	1	1	30.90	55562334	0
SRR24704796 (2.7 GB, unaligned)	sracat-rs	1	2	28.59	55562334	0
SRR24704796 (2.7 GB, unaligned)	sracat-rs	1	3	27.83	55562334	0
SRR24704796 (2.7 GB, unaligned)	sracat-rs	1	4	28.55	55562334	0
SRR24704796 (2.7 GB, unaligned)	sracat-rs	16	1	8.63	55562334	0
SRR24704796 (2.7 GB, unaligned)	sracat-rs	16	2	7.65	55562334	0
SRR24704796 (2.7 GB, unaligned)	sracat-rs	16	3	7.52	55562334	0
SRR24704796 (2.7 GB, unaligned)	sracat-rs	16	4	9.03	55562334	0
ERR12726217 (0.6 GB, unaligned)	sracat-cpp	1	1	15.12	17218060	0
ERR12726217 (0.6 GB, unaligned)	sracat-cpp	1	2	14.96	17218060	0
ERR12726217 (0.6 GB, unaligned)	sracat-cpp	1	3	16.51	17218060	0
ERR12726217 (0.6 GB, unaligned)	sracat-cpp	1	4	15.93	17218060	0
ERR12726217 (0.6 GB, unaligned)	fasterq-dump-unsorted	1	1	9.61	17218060	0
ERR12726217 (0.6 GB, unaligned)	fasterq-dump-unsorted	1	2	9.55	17218060	0
